Loss_Component,Mean (kg),Std (kg),R2,MAE (kg),Accuracy (%)
PACKING_WEIGHT,3.611111111111111,0.21182963643408084,0.9928642857142858,0.007592592592592562,99.7897435897436
TOP_LAYER_LOSS,1.3814814814814815,0.4582886536108985,0.9591328412053698,0.04592839453176215,96.67542452451052
CORE_END_LOSS,2.418518518518519,0.878717175571227,0.3036578246196079,0.5567197641662329,76.98095921517873
SPLICE_LOSS,2.4788888888888887,0.8193258642291672,0.9040931820833474,0.20496547327668516,91.73155867552593
Total_Loss,9.89,2.1330909317412896,0.8631599348215265,0.599421660021622,93.93911364993305
